구분,제목,내용,등록일
점검 안내,고객센터 시스템 정기 점검 예정,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [고객센터 시스템 정기 점검 예정]",2025-02-15
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-14
점검 안내,제네시스 통합 시스템 점검 공지,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [제네시스 통합 시스템 점검 공지]",2025-02-18
공지사항,추석 연휴 서비스 센터 휴무 일정 안내,추석 연휴 서비스 센터 휴무 일정 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-29
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-20
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-29
점검 안내,제네시스 통합 시스템 점검 공지,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [제네시스 통합 시스템 점검 공지]",2025-03-20
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-09
이벤트,5월 가정의 달 특별 시승 이벤트,"5월 가정의 달 특별 시승 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-15
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-04
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-08
점검 안내,고객센터 시스템 정기 점검 예정,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [고객센터 시스템 정기 점검 예정]",2025-03-06
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-11
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-16
점검 안내,카페이 시스템 점검 및 복구 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [카페이 시스템 점검 및 복구 안내]",2025-02-01
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-28
이벤트,2025년 봄맞이 무상점검 이벤트,"2025년 봄맞이 무상점검 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-28
이벤트,썸머 서비스 캠페인 특별 프로모션,"썸머 서비스 캠페인 특별 프로모션는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-11
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-26
이벤트,신규 출고 고객 대상 사은품 증정 이벤트,"신규 출고 고객 대상 사은품 증정 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-01
이벤트,장기 렌트 이용 고객 대상 경품 이벤트,"장기 렌트 이용 고객 대상 경품 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-11
공지사항,현대자동차 고객센터 운영시간 변경 안내,현대자동차 고객센터 운영시간 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-31
점검 안내,홈페이지 로그인 오류 개선 작업 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [홈페이지 로그인 오류 개선 작업 안내]",2025-03-24
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-17
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-30
점검 안내,카페이 시스템 점검 및 복구 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [카페이 시스템 점검 및 복구 안내]",2025-03-23
점검 안내,내비게이션 업데이트 서버 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [내비게이션 업데이트 서버 점검 안내]",2025-03-22
점검 안내,멤버십 포인트 조회 시스템 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [멤버십 포인트 조회 시스템 점검 안내]",2025-02-28
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-04-05
점검 안내,현대 디지털 키 기능 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [현대 디지털 키 기능 점검 안내]",2025-02-21
점검 안내,카페이 시스템 점검 및 복구 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [카페이 시스템 점검 및 복구 안내]",2025-04-01
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-12
이벤트,전기차 충전요금 할인 프로모션,"전기차 충전요금 할인 프로모션는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-17
공지사항,설 연휴 차량 탁송 일정 안내,설 연휴 차량 탁송 일정 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-27
공지사항,현대자동차 멤버십 등급 산정 기준 변경,현대자동차 멤버십 등급 산정 기준 변경에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-03
이벤트,2025년 봄맞이 무상점검 이벤트,"2025년 봄맞이 무상점검 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-11
점검 안내,현대자동차 앱 서버 정기 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [현대자동차 앱 서버 정기 점검 안내]",2025-02-24
점검 안내,현대자동차 앱 서버 정기 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [현대자동차 앱 서버 정기 점검 안내]",2025-03-15
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-04
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-17
이벤트,2025 신차 사전예약 고객 혜택 이벤트,"2025 신차 사전예약 고객 혜택 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-14
점검 안내,원격 진단 서비스 점검 예정 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [원격 진단 서비스 점검 예정 안내]",2025-01-09
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-10
공지사항,현대자동차 멤버십 등급 산정 기준 변경,현대자동차 멤버십 등급 산정 기준 변경에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-16
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-17
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-08
이벤트,장기 렌트 이용 고객 대상 경품 이벤트,"장기 렌트 이용 고객 대상 경품 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-04-04
공지사항,설 연휴 차량 탁송 일정 안내,설 연휴 차량 탁송 일정 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-03
이벤트,2025 신차 사전예약 고객 혜택 이벤트,"2025 신차 사전예약 고객 혜택 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-04-04
이벤트,썸머 서비스 캠페인 특별 프로모션,"썸머 서비스 캠페인 특별 프로모션는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-16
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-21
점검 안내,홈페이지 로그인 오류 개선 작업 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [홈페이지 로그인 오류 개선 작업 안내]",2025-04-04
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-31
이벤트,2025 신차 사전예약 고객 혜택 이벤트,"2025 신차 사전예약 고객 혜택 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-11
점검 안내,OTA 업데이트 관련 점검 일정 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [OTA 업데이트 관련 점검 일정 안내]",2025-03-09
이벤트,5월 가정의 달 특별 시승 이벤트,"5월 가정의 달 특별 시승 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-10
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-09
이벤트,5월 가정의 달 특별 시승 이벤트,"5월 가정의 달 특별 시승 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-06
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-05
점검 안내,홈페이지 로그인 오류 개선 작업 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [홈페이지 로그인 오류 개선 작업 안내]",2025-03-02
이벤트,2025년 봄맞이 무상점검 이벤트,"2025년 봄맞이 무상점검 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-14
점검 안내,카페이 시스템 점검 및 복구 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [카페이 시스템 점검 및 복구 안내]",2025-02-27
이벤트,썸머 서비스 캠페인 특별 프로모션,"썸머 서비스 캠페인 특별 프로모션는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-05
점검 안내,제네시스 통합 시스템 점검 공지,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [제네시스 통합 시스템 점검 공지]",2025-01-27
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-23
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-20
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-30
이벤트,신규 출고 고객 대상 사은품 증정 이벤트,"신규 출고 고객 대상 사은품 증정 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-29
공지사항,현대자동차 앱 개인정보처리방침 개정 안내,현대자동차 앱 개인정보처리방침 개정 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-28
점검 안내,현대자동차 앱 서버 정기 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [현대자동차 앱 서버 정기 점검 안내]",2025-01-12
이벤트,현대카드 제휴 캐시백 이벤트,"현대카드 제휴 캐시백 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-28
이벤트,현대카드 제휴 캐시백 이벤트,"현대카드 제휴 캐시백 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-02
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-08
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-04
점검 안내,제네시스 통합 시스템 점검 공지,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [제네시스 통합 시스템 점검 공지]",2025-03-05
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-31
공지사항,자동차세 연납 신청 기간 안내,자동차세 연납 신청 기간 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-03-05
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-08
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-17
공지사항,현대자동차 신차 보증 서비스 변경 안내,현대자동차 신차 보증 서비스 변경 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-07
점검 안내,원격 진단 서비스 점검 예정 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [원격 진단 서비스 점검 예정 안내]",2025-01-06
공지사항,2025년 정기 주주총회 소집 공고,2025년 정기 주주총회 소집 공고에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-14
공지사항,현대자동차 멤버십 등급 산정 기준 변경,현대자동차 멤버십 등급 산정 기준 변경에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-04-03
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-27
점검 안내,내비게이션 업데이트 서버 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [내비게이션 업데이트 서버 점검 안내]",2025-02-13
이벤트,장기 렌트 이용 고객 대상 경품 이벤트,"장기 렌트 이용 고객 대상 경품 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-10
점검 안내,카페이 시스템 점검 및 복구 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [카페이 시스템 점검 및 복구 안내]",2025-03-11
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-02-27
점검 안내,원격 진단 서비스 점검 예정 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [원격 진단 서비스 점검 예정 안내]",2025-02-12
이벤트,장기 렌트 이용 고객 대상 경품 이벤트,"장기 렌트 이용 고객 대상 경품 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-01-10
이벤트,2025 신차 사전예약 고객 혜택 이벤트,"2025 신차 사전예약 고객 혜택 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-28
이벤트,친환경차 보조금 신청 이벤트,"친환경차 보조금 신청 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-03
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-20
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-26
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-28
이벤트,현대 블루멤버스 포인트 두 배 적립 이벤트,"현대 블루멤버스 포인트 두 배 적립 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-03-27
공지사항,환경부 전기차 보조금 관련 안내,환경부 전기차 보조금 관련 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-04-04
이벤트,신규 출고 고객 대상 사은품 증정 이벤트,"신규 출고 고객 대상 사은품 증정 이벤트는 현대자동차 고객을 위한 특별 이벤트로, 상세 내용은 현대자동차 앱 및 웹사이트를 통해 확인 바랍니다.",2025-02-28
공지사항,겨울철 배터리 점검 캠페인 안내,겨울철 배터리 점검 캠페인 안내에 대한 상세 내용은 현대자동차 공식 홈페이지 또는 고객센터를 통해 확인하시기 바랍니다.,2025-01-21
점검 안내,내비게이션 업데이트 서버 점검 안내,"점검 시간 동안 일부 기능이 제한될 수 있으며, 고객님의 양해 부탁드립니다. [내비게이션 업데이트 서버 점검 안내]",2025-04-01
